,CIK,Name
117,0001697740,Sanchez Wealth Management Group
118,0001728436,"Sanctuary Wealth Management, L.L.C."
119,0001510481,Sarasin & Partners LLP
120,0001418342,Seascape Capital Management
121,0001664771,Sitrin Capital Management LLC
122,0001800379,"SkyOak Wealth, LLC"
123,0001802630,"Soleus Capital Management, L.P."
124,0001831944,Southern Farm Bureau Life Insurance
125,0001800158,"Sunburst Financial Group, LLC 04-28-2021 13F-HR 1254890 TAIYO LIFE INSURANCE CO"
126,0001583751,"TCI Wealth Advisors, Inc."
127,0001767217,"TLW Wealth Management, LLC"
128,0001454308,"Tanglewood Wealth Management, Inc."
129,0001806428,"Tempus Wealth Planning, LLC"
130,0001730889,Vigilare Wealth Management
131,0000943712,WASHINGTON STATE INVESTMENT BOARD
132,0000108572,WRIGHT INVESTORS SERVICE INC
133,0001780507,WT Wealth Management
134,0001731444,"We Are One Seven, LLC"
135,0001803005,"Wealth Advisors of Iowa, LLC"
136,0001611518,"Wealth Architects, LLC"
137,0001667132,"Well Done, LLC"
138,0001846923,"Williams Financial, LLC"
139,0001853239,"Willis Johnson & Associates, Inc."
140,0001531971,XR Securities LLC
141,0001774437,"Your Advocates Ltd., LLP"
142,0001307617,"Ziegler Capital Management, LLC"
143,0001802324,"360 Financial, Inc."
144,0001508822,"ACR Alpine Capital Research, LLC"
145,0001630365,"AIMZ Investment Advisors, LLC"
146,0001553562,AMF Pensionsforsakring AB
147,0001821051,"APPLIED RESEARCH INVESTMENTS, LLC"
148,0001214816,AXIS CAPITAL HOLDINGS LTD
149,0001582681,Alaska Permanent Fund Corp
150,0001802876,"Alpha Omega Group, Inc."
151,0001308778,"America First Investment Advisors, LLC"
152,0001853635,"Ampfield Management, L.P."
153,0001535385,Artemis Investment Management LLP
154,0001814234,Atlas Private Wealth Advisors
155,0001844375,"Avenue 1 Advisors, LLC"
156,0001642216,Ayalon Holdings Ltd.
157,0000915325,BADGLEY PHELPS & BELL INC
158,0001840565,"BAKER TILLY WEALTH MANAGEMENT, LLC"
159,0001845867,"BCK Partners, Inc."
160,0001373017,"BCM ADVISORS, LLC"
161,0001798172,BCS Wealth Management
162,0000894300,BENDER ROBERT & ASSOCIATES
163,0001820680,"BLUESTEM FINANCIAL ADVISORS, LLC"
164,0000872080,BRAUN STACEY ASSOCIATES INC
165,0001365559,Baker Ellis Asset Management LLC
166,0001793367,"Belmont Capital, LLC"
167,0001629283,Bluescape Energy Partners LLC
168,0001713521,"Bridge City Capital, LLC"
169,0001843853,Brown Financial Advisory
170,0001770940,CMC Financial Group
171,0000901541,COMERICA BANK
172,0001654033,"COOPER/HAIMS ADVISORS, LLC"
173,0001388469,"CVentures, Inc."
174,0001510870,"Carlton Hofferkamp & Jenks Wealth Management, LLC"
175,0001730295,"Carmichael Hill & Associates, Inc."
176,0001844878,Center For Asset Management LLC
177,0001563525,Chicago Partners Investment Group LLC
178,0001767384,"Clarity Wealth Advisors, LLC"
179,0001845617,Crestone Asset Management LLC
180,0001599468,Crossvault Capital Management LLC
181,0001715593,Csenge Advisory Group
182,0001721527,"Cypress Wealth Services, LLC"
183,0001767343,"DAGCO, INC."
184,0000887777,DAVENPORT & Co LLC
185,0000860857,DELTA ASSET MANAGEMENT LLC/TN
186,0001365167,"DIVIDEND ASSETS CAPITAL, LLC"
187,0001020585,DUNCKER STREETT & CO INC
188,0001535677,"Day & Ennis, LLC"
189,0001456228,DekaBank Deutsche Girozentrale
190,0001757605,EQ LLC
191,0001785545,"ESL Trust Services, LLC"
192,0001542164,"Efficient Advisors, LLC"
193,0001358828,"Financial Sense Advisors, Inc."
194,0001799964,Firestone Capital Management
195,0001729254,Front Row Advisors LLC
196,0001638520,"GFG Capital, LLC"
197,0001080369,GW HENSSLER & ASSOCIATES LTD
198,0001802952,"Game Plan Financial Advisors, LLC"
199,0001766789,Global Beta Advisors LLC
200,0001382303,Goodman Financial Corp
201,0001367786,"HM Capital Management, LLC"
202,0001079112,HOWLAND CAPITAL MANAGEMENT LLC
203,0001135077,HYMAN CHARLES D
204,0001399518,"Hartz Capital, Inc."
205,0001581793,"Hefren-Tillotson, Inc."
206,0001606152,Hikari Power Ltd
207,0001767121,"Hillcrest Wealth Advisors - NY, LLC"
208,0001733173,Howard Capital Management Inc.
209,0001808919,"Hunter Perkins Capital Management, LLC"
210,0001765617,"IFS Advisors, LLC"
211,0001608826,"INTEGRATED CAPITAL MANAGEMENT, INC."
212,0001730630,Investors Research Corp
213,0001630360,"Ironwood Financial, llc"
214,0001809525,IvyRock Asset Management (HK) Ltd
215,0001404763,"J.W. COLE ADVISORS, INC."
216,0001568068,"JFS WEALTH ADVISORS, LLC"
217,0001748278,"JGP Wealth Management, LLC"
218,0001598561,JJJ Advisors Inc.
219,0001731152,James Hambro & Partners
220,0001767306,JustInvest LLC
221,0001730810,"Legacy Financial Advisors, Inc."
222,0001838533,LifePro Asset Management
223,0001767045,"Lindbrook Capital, LLC"
224,0000809443,MEEDER ASSET MANAGEMENT INC
225,0001825516,MIZUHO MARKETS AMERICAS LLC
226,0001513006,MIZUHO SECURITIES USA LLC
227,0001272544,MONTGOMERY INVESTMENT MANAGEMENT INC
228,0001473438,"MU Investments Co., Ltd."
229,0001725248,"Manning & Napier Group, LLC"
230,0001389223,"Mathes Company, Inc."
231,0001833140,McLean Asset Management Corp
232,0001628110,Melvin Capital Management LP
233,0001819679,Milestone Advisory Partners
234,0001317253,"Minneapolis Portfolio Management Group, LLC"
235,0001803149,Mizuho Markets Cayman LP
236,0001697934,"Moloney Securities Asset Management, LLC"
237,0001839826,"Monterey Private Wealth, Inc."
238,0001667232,NN Investment Partners Holdings N.V.
239,0001542927,National Mutual Insurance Federation of Agricultural Coopera
240,0001535679,"New England Investment & Retirement Group, Inc."
241,0001630806,Newfound Research LLC
242,0001330325,"Opus Capital Group, LLC"
243,0001511229,"Orca Investment Management, LLC"
244,0001658535,"Orgel Wealth Management, LLC"
245,0001071640,PARK AVENUE SECURITIES LLC
246,0001018674,PARSONS CAPITAL MANAGEMENT INC/RI
247,0000884300,PERKINS CAPITAL MANAGEMENT INC
248,0000821103,PLANNING DIRECTIONS INC
249,0001729049,"Pegasus Asset Management, Inc."
250,0001713558,"Peterson Wealth Advisors, LLC"
251,0001676603,"Probity Advisors, Inc."
252,0001802496,"QP WEALTH MANAGEMENT, LLC"
253,0001787663,"RIVERSEDGE ADVISORS, LLC"
254,0001616664,Raab & Moskowitz Asset Management LLC
255,0001803329,Regent Peak Wealth Advisors LLC
256,0001803236,"Resonant Capital Advisors, LLC"
257,0000908195,SHUFRO ROSE & CO LLC
258,0001680365,"SL ADVISORS, LLC"
259,0001731127,"STRATEGIC CAPITAL ADVISERS, INC."
260,0001019531,SWARTHMORE GROUP INC
261,0001730959,"Santori & Peters, Inc."
262,0001418539,"Sonora Investment Management, LLC"
263,0001784777,"Sound View Wealth Advisors Group, LLC"
264,0001718982,"Spearhead Capital Advisors, LLC"
265,0001844278,"Sterling Financial Planning, Inc."
266,0001584728,Stone Ridge Asset Management LLC
267,0001801413,"Summit Place Financial Advisors, LLC"
268,0001567889,"Telos Capital Management, Inc."
269,0000036104,US BANCORP \DE\
270,0001840755,Unison Asset Management LLC
271,0001686844,"Value Monitoring, Inc."
272,0001846311,Vancity Investment Management Ltd
273,0001079736,WASHINGTON TRUST Co
274,0001806580,"WEALTH ADVISORS, INC."
275,0001125243,WEDGEWOOD INVESTORS INC /PA/
276,0001598379,WILSEY ASSET MANAGEMENT INC
277,0001801674,"WJ Wealth Management, LLC"
278,0001735734,"Wealth Alliance Advisory Group, LLC"
279,0001773368,Wesleyan Assurance Society
280,0001764000,Wilkinson Global Asset Management LLC
281,0001665605,"3EDGE Asset Management, LP"
282,0001697723,AE Wealth Management LLC
283,0001569454,AMERICAN ASSET MANAGEMENT INC.
284,0001602730,"Abacus Planning Group, Inc."
285,0001804717,"Adaptive Financial Consulting, LLC"
286,0001569100,Adirondack Research & Management Inc.
287,0001667164,"Arbor Wealth Management, LLC"
288,0001426851,"Argent Advisors, Inc."
289,0001321194,Argyle Capital Management Inc.
290,0001738720,Avondale Wealth Management
291,0001851395,"BARON SILVER STEVENS FINANCIAL ADVISORS, LLC"
292,0001121477,BOYD WATTERSON ASSET MANAGEMENT LLC/OH
293,0000276101,BRISTOL JOHN W & CO INC /NY/
294,0001133999,BUCKHEAD CAPITAL MANAGEMENT LLC
295,0001632341,Belvedere Trading LLC
296,0001352871,Benin Management CORP
297,0001536558,British Airways Pensions Investment Management Ltd
298,0001535847,"CWM, LLC"
299,0000925824,CYPRESS GROWTH FUND III LP
300,0001843492,Campion Asset Management
301,0001763608,"Capital Financial Planning, LLC"
302,0001582732,"Capital Investment Advisors, LLC"
303,0001425040,"CarVal Investors, LP"
304,0001727605,"Castle Rock Wealth Management, LLC"
305,0001664214,"Clarius Group, LLC"
306,0001631773,"Concorde Asset Management, LLC"
307,0001543830,Cowen Prime Services LLC
309,0001759578,Crumly & Associates Inc.
310,0001717658,"DeDora Capital, Inc."
311,0001638049,"Donald L. Hagan, LLC"
312,0001376772,Dorsey Wright & Associates
313,0001599747,Dynamic Advisor Solutions LLC
314,0001126395,EASTERN BANK
315,0001844107,"Elk River Wealth Management, LLC"
316,0001632553,Eukles Asset Management
317,0000036066,"FIRST AMERICAN TRUST, FSB"
318,0000860413,FIRST INTERSTATE BANCSYSTEM INC
319,0001014736,FIRST QUADRANT L P/CA
320,0000850529,"Fisher Asset Management, LLC"
321,0001707206,"Fundamentun, LLC"
322,0001570251,Goldstein Munger & Associates
323,0001696260,"Good Life Advisors, LLC"
324,0000860486,"HIGHLAND CAPITAL MANAGEMENT, LLC"
325,0001429390,Harel Insurance Investments & Financial Services Ltd.
326,0001591122,Heritage Wealth Advisors
327,0001541910,Illinois Municipal Retirement Fund
328,0001538037,Independent Order of Foresters
329,0001569855,Janney Capital Management LLC
330,0001329948,Janney Montgomery Scott LLC
331,0000898399,KEMPNER CAPITAL MANAGEMENT INC.
332,0001026013,KOONCE CALVIN SCOTT
333,0001737871,LFA - Lugano Financial Advisors SA
334,0001310658,Ledyard National Bank
335,0001662944,Leverage Partners Absolute Return Fund SPC
336,0001737112,Lutz Financial Services LLC
337,0000881432,MERITAGE PORTFOLIO MANAGEMENT
338,0000938759,MONARCH CAPITAL MANAGEMENT INC/
339,0001631185,"Mercer Capital Advisers, Inc."
340,0001744318,"MinichMacGregor Wealth Management, LLC"
341,0001767812,"Miramar Capital, LLC"
342,0001674343,"Mosaic Family Wealth, LLC"
343,0000905591,NIPPON LIFE INSURANCE CO
344,0001616454,"NextCapital Advisers, Inc."
345,0001631052,"Northside Capital Management, LLC"
346,0001764525,"OCO Capital Partners, L.P."
347,0001005607,"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC"
348,0001726375,"Oak Asset Management, LLC"
349,0001800938,"One Charles Private Wealth Services, LLC"
350,0001780985,OneAscent Financial Services LLC
351,0001844707,OneAscent Wealth Management LLC
352,0001694435,PFG Advisors
353,0001512779,"ROCKY MOUNTAIN ADVISERS, LLC"
354,0001666664,"RPG Investment Advisory, LLC"
355,0001783599,"Red Door Wealth Management, LLC"
356,0001703556,Ridgewood Investments LLC
357,0001601348,Riggs Asset Managment Co. Inc.
358,0000937760,SUMITOMO LIFE INSURANCE CO
359,0001534378,"Sage Advisory Services, Ltd.Co."
360,0001790723,Savior LLC
361,0001596055,"Silver Lake Advisory, LLC"
362,0001470414,"Smith, Graham & Co., Investment Advisors, LP"
363,0001852688,Soditic Asset Management LLP
364,0001725394,Spectrum Planning & Advisory Services Inc.
365,0001661144,St. Louis Trust Co
366,0001483066,State of New Jersey Common Pension Fund D
367,0001483260,State of New Jersey Common Pension Fund E
368,0001731876,"Steigerwald, Gordon & Koch Inc."
369,0001696497,"Stone House Investment Management, LLC"
370,0001731359,Stony Point Wealth Management Inc.
371,0001707202,"Stratos Wealth Advisors, LLC"
372,0001612865,"Stratos Wealth Partners, LTD."
373,0001643792,Svenska Handelsbanken AB (publ)
374,0001766067,"TRUEFG, LLC"
375,0001599603,"Tarbox Family Office, Inc."
376,0001581641,Tuttle Tactical Management
377,0001525212,USCA RIA LLC
378,0001539948,"United Asset Strategies, Inc."
379,0001753219,"United Capital Management of KS, Inc."
380,0001673588,VCU Investment Management Co
381,0001792283,Venture Visionary Partners LLC
382,0001735057,"Versant Capital Management, Inc"
383,0001481714,"Verus Financial Partners, Inc."
384,0001746438,"Vishria Bird Financial Group, LLC"
385,0000106077,WESTERN FINANCIAL CORPORATION
386,0001344114,Waverton Investment Management Ltd
387,0001351731,"WestEnd Advisors, LLC"
388,0001650092,"Westbourne Investment Advisors, Inc."
389,0001009012,ZAZOVE ASSOCIATES LLC
390,0001818897,AM INVESTMENT STRATEGIES LLC
391,0001044929,ATWOOD & PALMER INC
392,0001606609,"Archford Capital Strategies, LLC"
393,0001800798,Arkadios Wealth Advisors
394,0001546865,"Ascent Wealth Partners, LLC"
395,0001546007,Assenagon Asset Management S.A.
396,0001596355,"Asset Management Advisors, LLC"
397,0001800369,Atlas Private Wealth Management
398,0001803415,BALLAST ADVISORS LLC
399,0000902528,BANK HAPOALIM BM
400,0001387723,BANK OF STOCKTON
401,0001706836,"BFSG, LLC"
402,0001015086,BRADLEY FOSTER & SARGENT INC/CT
403,0001085867,BRAVE ASSET MANAGEMENT INC
404,0001784093,"Beacon Harbor Wealth Advisors, Inc."
405,0001730511,"Bedel Financial Consulting, Inc."
406,0001757706,"Benchmark Financial Wealth Advisors, LLC"
407,0001424177,Birch Hill Investment Advisors LLC
408,0001062589,"Blue Ridge Capital, L.L.C."
409,0001821271,Bordeaux Wealth Advisors LLC
410,0001748766,"Brand Asset Management Group, Inc."
411,0001712533,Brickley Wealth Management
412,0001747799,"Brio Consultants, LLC"
413,0001800453,"CALIBER WEALTH MANAGEMENT, LLC"
414,0001074273,CAPITAL MANAGEMENT CORP /VA
415,0001324022,COHEN LAWRENCE B
416,0001799581,"CORBETT ROAD CAPITAL MANAGEMENT, LLC"
417,0001858782,"Canvas Wealth Advisors, LLC"
418,0001628896,"Capital Advantage, Inc."
419,0001843237,Cephei Capital Management (Hong Kong) Ltd
420,0001751006,"Chapman Investment Management, LLC"
421,0001730383,Chesapeake Wealth Management
422,0001525865,Clean Yield Group
423,0001840306,Clearview Wealth Advisors LLC
424,0001720292,Compass Advisory Group LLC
426,0001845262,Connolly Sarah T.
427,0001541743,"Copeland Capital Management, LLC"
428,0001715862,Cordatus Wealth Management LLC
429,0001328062,"Cornerstone Investment Partners, LLC"
430,0001774879,"Cornerstone Wealth Group, LLC"
431,0001482106,"Courage Miller Partners, LLC"
432,0001424322,"Cubic Asset Management, LLC"
433,0001534270,Cutler Group LP
434,0001142941,DENALI ADVISORS LLC
435,0001278678,DEROY & DEVEREAUX PRIVATE INVESTMENT COUNSEL INC
436,0001743941,Elm Partners Management LLC
437,0000869353,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC"
438,0001163902,FOSTER & MOTLEY INC
439,0001568132,"Financial Management Professionals, Inc."
440,0001426398,Focused Investors LLC
441,0001841633,"ForthRight Wealth Management, LLC"
442,0001844877,Freed Investment Group
443,0001423876,"GARNET EQUITY CAPITAL HOLDINGS, INC."
444,0001276520,GENWORTH FINANCIAL INC
445,0001633516,GWM Advisors LLC
446,0001713678,"GenWealth Group, Inc."
447,0001761871,Hardy Reed LLC
448,0001543536,"Hudock, Inc."
449,0001121908,INDEPENDENT INVESTORS INC
450,0001718732,"Icon Wealth Partners, LLC"
451,0001536139,"J. W. Coons Advisors, LLC"
452,0001164478,KANAWHA CAPITAL MANAGEMENT LLC
453,0001411133,KBC Group NV
454,0001020580,KEATING INVESTMENT COUNSELORS INC
455,0001639754,Kranot Hishtalmut Le Morim Tichoniim Havera Menahelet LTD
456,0001698146,LeJeune Puetz Investment Counsel LLC
457,0001834011,Legacy Financial Group LLC
458,0001569292,"Lenox Wealth Advisors, LLC"
459,0001767474,MA Private Wealth
460,0001040592,MARATHON ASSET MANAGEMENT LLP
461,0001099762,"MARINO, STRAM & ASSOCIATES LLC"
462,0001775850,"MBE Wealth Management, LLC"
463,0001791996,"MONTICELLO WEALTH MANAGEMENT, LLC"
464,0001730525,Maj Invest Holding A/S
465,0001695664,Mascoma Wealth Management LLC
466,0001858699,Mayar Capital Ltd.
467,0001695490,"McAdam, LLC"
468,0001544224,McCutchen Group LLC
469,0001422508,Montecito Bank & Trust
470,0001598011,Moreno Evelyn V
471,0001542324,"Mraz, Amerine & Associates, Inc."
472,0000862469,NEW MEXICO EDUCATIONAL RETIREMENT BOARD
473,0000937615,"NISA INVESTMENT ADVISORS, LLC"
474,0001626757,NIXON PEABODY TRUST CO
475,0001483259,NJ State Employees Deferred Compensation Plan
476,0001105344,NORTH POINT PORTFOLIO MANAGERS CORP/OH
477,0001482010,New Jersey Better Educational Savings Trust
478,0001816000,"Northstar Advisory Group, LLC"
479,0000714364,OGOREK ANTHONY JOSEPH /NY/ /ADV
480,0001823172,One Day In July LLC
481,0000894205,PROFESSIONAL ADVISORY SERVICES INC
482,0001766571,"Pacific Wealth Strategies Group, Inc."
483,0001703383,"Pinnacle Bancorp, Inc."
484,0001753271,"Portfolio Strategies, Inc."
485,0001844197,"Precision Wealth Strategies, LLC"
487,0001388028,"REIK & CO., LLC"
488,0000051762,RNC CAPITAL MANAGEMENT LLC
489,0001696867,"Radnor Capital Management, LLC"
490,0001508195,Retirement Planning Group
491,0001735445,Rheos Capital Works Inc.
492,0001763404,"Riverstone Advisors, LLC"
493,0001622820,Rosenbaum Jay D.
494,0001846991,"Round Rock Advisors, LLC"
495,0001488542,"SIMPLEX TRADING, LLC"
496,0001849444,"SOA Wealth Advisors, LLC."
497,0001665359,"Schneider Downs Wealth Management Advisors, LP"
498,0001705655,Seelaus Asset Management LLC
499,0001080523,Selway Asset Management
501,0001767070,Shulman DeMeo Asset Management LLC
502,0001506409,Silchester International Investors LLP
503,0001728866,Smart Money Group LLC
504,0001454138,"Stairway Partners, LLC"
505,0001482970,"Stillwater Capital Advisors, LLC"
506,0001748269,"Sunesis Advisors, LLC"
507,0001483065,Supplemental Annuity Collective Trust of NJ
508,0001068804,TOTAL INVESTMENT MANAGEMENT INC
509,0001009262,"TRAN CAPITAL MANAGEMENT, L.P."
510,0001843848,TriaGen Wealth Management LLC
511,0001169069,VIKING FUND MANAGEMENT LLC
512,0001800593,"Vista Wealth Management Group, LLC"
513,0001142495,WEDBUSH SECURITIES INC
514,0000912160,WESTWOOD MANAGEMENT CORP /IL/
515,0001137881,WHITTIER TRUST CO
516,0001263548,WHITTIER TRUST CO OF NEVADA INC
517,0000771118,WOODARD & CO ASSET MANAGEMENT GROUP INC /ADV
518,0001802660,Wealth CMT
519,0001799425,WealthBridge Investment Counsel Inc.
520,0001644329,"Wela Strategies, Inc."
521,0001533950,Zweig-DiMenna Associates LLC
522,0001699622,"ACCESS FINANCIAL SERVICES, INC."
523,0000002230,"ADAMS DIVERSIFIED EQUITY FUND, INC."
524,0000216851,"ADAMS NATURAL RESOURCES FUND, INC."
525,0001454937,"AEGON USA Investment Management, LLC"
526,0001701879,"Acorns Advisers, LLC"
527,0001580830,"Alpha Cubed Investments, LLC"
528,0001731012,Alphinity Investment Management Pty Ltd
529,0001780607,Arden Trust Co
530,0001716539,"Arlington Financial Advisors, LLC"
531,0001096783,BAXTER BROS INC
532,0001409775,"BBVA USA Bancshares, Inc."
533,0000911274,"BEESE FULMER INVESTMENT MANAGEMENT, INC."
534,0001352864,"BKD Wealth Advisors, LLC"
535,0001352860,"BLUE BELL PRIVATE WEALTH MANAGEMENT, LLC"
536,0001128286,BOURNE LENT ASSET MANAGEMENT INC
537,0000900974,BRYN MAWR TRUST Co
538,0001569650,Bank OZK
539,0001765595,Bernardo Wealth Planning LLC
540,0001704107,"BlueSky Wealth Advisors, LLC"
541,0001712686,"Broadleaf Partners, LLC"
542,0001633673,"Bruderman Asset Management, LLC"
543,0000044365,CENTRAL TRUST Co
544,0000801051,CONNING INC.
545,0001681490,"Cascade Investment Advisors, Inc."
546,0001798986,"Cedar Mountain Advisors, LLC"
547,0001722053,"CenterStar Asset Management, LLC"
548,0001733788,"Centerpoint Advisors, LLC"
549,0001592178,"Chicago Wealth Management, Inc."
550,0001784235,"Clear Creek Financial Management, LLC"
551,0001727269,"Columbus Macro, LLC"
552,0001615423,Compagnie Lombard Odier SCmA
553,0001163744,"Conestoga Capital Advisors, LLC"
554,0001667163,"Cribstone Capital Management, LLC"
555,0000893738,DELTA CAPITAL MANAGEMENT LLC
556,0001731275,"DIVERGENT WEALTH ADVISORS, LLC"
557,0001789351,Deseret Mutual Benefit Administrators
558,0001549042,"Diligent Investors, LLC"
559,0001730787,"Divergent Planning, LLC"
560,0001600746,"Eagle Capital Management, LLC"
561,0001842545,Eagle Health Investments LP
562,0001626379,"Evanson Asset Management, LLC"
563,0001733777,"F3Logic, LLC"
564,0000073956,"FIFTH THIRD SECURITIES, INC."
565,0001713697,FLC Capital Advisors
566,0001706170,"Fieldpoint Private Securities, LLC"
567,0001805758,"First Ascent Asset Management, LLC"
568,0001722283,"Fluent Financial, LLC"
569,0001769063,"Foster Victor Wealth Advisors, LLC"
570,0001799367,"GPM Growth Investors, Inc."
571,0001731029,Greencape Capital Pty Ltd
572,0001662212,Grove Bank & Trust
573,0001802635,H&H Retirement Design & Management INC
574,0000937589,HERITAGE INVESTORS MANAGEMENT CORP
575,0001750086,"HHM Wealth Advisors, LLC"
576,0001766286,"HOWARD WEALTH MANAGEMENT, LLC"
577,0000943442,HUDSON VALLEY INVESTMENT ADVISORS INC /ADV
578,0001760263,"Hamilton Wealth, LLC"
579,0001840486,"Harbor Group, Inc."
580,0001661580,Ilmarinen Mutual Pension Insurance Co
581,0001080374,"JAG CAPITAL MANAGEMENT, LLC"
582,0001599330,"Joel Isaacson & Co., LLC"
583,0001775391,"Joseph P. Lucia & Associates, LLC"
