,Unnamed: 0_x,edge_attr,cusip_x,value_x,amount_x,put_or_call_x,source,cik_x,report_date_x,year,std_value_x,Unnamed: 0_y,cusip_y,value_y,amount_y,put_or_call_y,target,cik_y,report_date_y,std_value_y,weight
23948656,49515,DIAMONDBACK ENERGY INC,25278X109,495.0,5330.0,No,"CAPSTONE INVESTMENT ADVISORS, LLC",1426196,2019-12-31,2019,-0.03787990925963491,223309,25278X109,5107.0,55000.0,No,"SG3 Management, LLC",1630888,2019-12-31,-0.037520241274576385,-0.03770007526710564
28876519,205288,PFIZER INC,717081103,8575.0,218849.0,No,Grassi Investment Management,1608531,2019-12-31,2019,-0.03724978841850896,257215,717081103,202.0,5152.0,No,"Quaker Wealth Management, LLC",1733472,2019-12-31,-0.037902758938650985,-0.03757627367857998
73117345,142454,PAYPAL HLDGS INC,70450Y103,2346.0,10015.0,No,"Otter Creek Advisors, LLC",1640361,2020-12-31,2020,-0.03773555855704529,273572,70450Y103,558.0,2384.0,No,KWB Wealth,1822236,2020-12-31,-0.03787499618872019,-0.03780527737288274
77351685,259804,PIONEER NAT RES CO,723787107,1424.0,12500.0,No,Oslo Asset Management AS,1512590,2020-12-31,2020,-0.03780746095995595,321372,723787107,26.0,232.0,No,"Lloyd Advisory Services, LLC.",1802474,2020-12-31,-0.03791648434311116,-0.03786197265153356
7763645,157838,APPLE INC,037833100,1609.0,10198.0,No,"Parker Investment Management, LLC",1672070,2018-12-31,2018,-0.03779303368822225,158105,037833100,2330.0,14773.0,No,Man Group plc,1637460,2018-12-31,-0.03773680632108713,-0.03776492000465469
13723323,17258,SPDR S&P 500 ETF TR (TR UNIT),78462F103,3000.0,12005.0,No,"MorganRosel Wealth Management, LLC",1753218,2018-12-31,2018,-0.03768455620183534,140751,78462F103,3501.0,14010.0,No,CAXTON CORP,1388551,2018-12-31,-0.03764548559027543,-0.03766502089605539
7720862,69195,APPLE INC,037833100,24252.0,153748.0,No,"Nan Shan Life Insurance Co., Ltd.",1730464,2018-12-31,2018,-0.036027213613269916,185479,037833100,673.0,4267.0,No,"ZEKE CAPITAL ADVISORS, LLC",1469528,2018-12-31,-0.037866027884669515,-0.03694662074896972
1398323,182582,FACEBOOK INC (CL A),30303M102,33909.0,192163.0,No,Newbrook Capital Advisors LP,1389875,2017-12-31,2017,-0.03527411002877075,188028,30303M102,1635.0,9264.0,No,"Bridgewater Associates, LP",1350694,2017-12-31,-0.03779100607165427,-0.03653255805021251
65328955,159961,ADOBE SYSTEMS INCORPORATED,00724F101,17641.0,35274.0,No,"Ziegler Capital Management, LLC",1307617,2020-12-31,2020,-0.03654277411830502,320749,00724F101,20094.0,40179.0,No,Tiger Eye Capital LLC,1569175,2020-12-31,-0.03635147629364141,-0.036447125205973215
13729194,55291,SPDR S&P 500 ETF TR (TR UNIT),78462F103,513.0,2051.0,No,"Beaumont Financial Partners, LLC",1352764,2018-12-31,2018,-0.03787850552508785,271559,78462F103,2117.0,8039.0,No,"BANYAN CAPTIAL MANAGEMENT, INC.",846600,2018-12-31,-0.037753417179894035,-0.03781596135249094
21991168,227243,AT&T INC,00206R102,595.0,15224.0,No,Hardman Johnston Global Advisors LLC,1006364,2019-12-31,2019,-0.03787211073437345,232360,00206R102,307.0,7849.0,No,"Royal Harbor Partners, LLC",1801876,2019-12-31,-0.03789457048712645,-0.03788334061074995
1793908,21530,ALIBABA GROUP HLDG LTD (SPONSORED ADS),01609W102,222.0,1287.0,No,"Iron Financial, LLC",1595509,2017-12-31,2017,-0.03790119923359869,176902,01609W102,2483.0,14400.0,No,Graticule Asia Macro Advisors LLC,1619390,2017-12-31,-0.03772487457743709,-0.03781303690551789
693330,136190,GMS INC,36251C103,6089.0,161782.0,No,SG Capital Management LLC,1510099,2017-12-31,2017,-0.03744365975650885,230201,36251C103,27244.0,723802.0,No,EMERALD MUTUAL FUND ADVISERS TRUST,1352895,2017-12-31,-0.03579388173744704,-0.03661877074697795
31514428,164976,SPDR S&P 500 ETF TR (TR UNIT),78462F103,17423.0,54132.0,No,"Mine & Arao Wealth Creation & Management, LLC.",1802994,2019-12-31,2019,-0.036559774903375,202654,78462F103,4744.0,14668.0,No,"CAPROCK Group, Inc.",1610769,2019-12-31,-0.03754854992127549,-0.037054162412325245
77163726,178373,LIBERTY BROADBAND CORP (COM SER C),530307305,92799.0,585965.0,No,WESWTWOOD HOLDINGS GROUP INC.,1165002,2020-12-31,2020,-0.030681558502297094,304414,530307305,565315.0,3569585.0,No,FPR PARTNERS LLC,1546190,2020-12-31,0.006167721122142101,-0.012256918690077497
7763404,157621,APPLE INC,037833100,25221.0,159890.0,No,EDGEWOOD MANAGEMENT LLC,860561,2018-12-31,2018,-0.03595164590348637,256743,037833100,546.0,3462.0,No,"RHS Financial, LLC",1766514,2018-12-31,-0.037875932011751566,-0.03691378895761897
7742831,130873,APPLE INC,037833100,35503.0,225072.0,No,NEVILLE RODIE & SHAW INC,71210,2018-12-31,2018,-0.03514980153610308,179122,037833100,1883.0,11323.0,No,"Financial Insights, Inc.",1642058,2018-12-31,-0.03777166572900585,-0.03646073363255446
785626,174302,INTEL CORP,458140100,2810.0,60879.0,No,"Saba Capital Management, L.P.",1510281,2017-12-31,2017,-0.03769937339983212,212239,458140100,414.0,8976.0,No,"Stadion Money Management, LLC",1321220,2017-12-31,-0.037886226065096694,-0.03779279973246441
7795240,203536,APPLE INC,037833100,6457297.0,40936.0,No,Rehmann Capital Advisory Group,1633037,2018-12-31,2018,0.465655425792804,256743,037833100,546.0,3462.0,No,"RHS Financial, LLC",1766514,2018-12-31,-0.037875932011751566,0.21388974689052623
20252361,65913,APPLE INC,037833100,1951.0,6644.0,No,"Berkeley Capital Partners, LLC",1667694,2019-12-31,2019,-0.037766362731828054,251894,037833100,2110.0,7187.0,No,Providence First Trust Co,1713735,2019-12-31,-0.03775396307666234,-0.03776016290424519
66062641,177278,AMAZON COM INC,023135106,2459.0,755.0,No,RSM US WEALTH MANAGEMENT LLC,1679031,2020-12-31,2020,-0.03772674622349984,249805,023135106,11074.0,3400.0,No,MONETTA FINANCIAL SERVICES INC,869179,2020-12-31,-0.03705490327222508,-0.03739082474786246
9731930,5623,AMAZON COM INC,023135106,97434.0,64871.0,No,"MANUFACTURERS LIFE INSURANCE COMPANY, THE",928047,2018-12-31,2018,-0.030320096856428433,192605,023135106,11896.0,7920.0,No,"GREENLEA LANE CAPITAL MANAGEMENT, LLC",1766504,2018-12-31,-0.036990799394575884,-0.033655448125502155
65475125,298683,ALIBABA GROUP HLDG LTD (SPONSORED ADS),01609W102,3041.0,13066.0,No,"HGI Capital Management, LLC",1595907,2020-12-31,2020,-0.037681358806478146,308842,01609W102,191.0,820.0,No,Guinness Asset Management LTD,1409661,2020-12-31,-0.03790361677642975,-0.037792487791453944
43593,94008,ABBVIE INC,00287Y109,45182.0,467186.0,No,RNC CAPITAL MANAGEMENT LLC,51762,2017-12-31,2017,-0.034394982276046385,141190,00287Y109,3506.0,36252.0,No,"Granite Investment Partners, LLC",1542266,2017-12-31,-0.037645095664012355,-0.03602003897002937
20178213,263,APPLE INC,037833100,51545.0,174465.0,No,"Strategic Wealth Advisors Group, LLC",1548916,2019-12-31,2019,-0.033898762113659706,221728,037833100,157690.0,537000.0,No,"COWEN AND COMPANY, LLC",48966,2019-12-31,-0.025621017474883243,-0.029759889794271473
20400534,168681,APPLE INC,037833100,9690000.0,33000.0,No,Crake Asset Management LLP,1789082,2019-12-31,2019,0.7177585858757716,226508,037833100,1017.0,3463.0,No,"MAPLELANE CAPITAL, LLC",1512173,2019-12-31,-0.03783920095777009,0.33995969245900076
31491181,6989,SPDR S&P 500 ETF TR (TR UNIT),78462F103,9957.0,30486.0,No,"Oldfather Financial Services, LLC",1775530,2019-12-31,2019,-0.037142012799395586,166759,78462F103,2246.0,6979.0,No,BRANDYWINE TRUST CO,1123803,2019-12-31,-0.03774335708230675,-0.037442684940851165
9563567,36473,ALIBABA GROUP HLDG LTD (SPONSORED ADS),01609W102,564.0,4115.0,No,COBBLESTONE CAPITAL ADVISORS LLC /NY/,1033505,2018-12-31,2018,-0.0378745282772045,188362,01609W102,56473.0,412000.0,No,Artal Group S.A.,1053906,2018-12-31,-0.03351445078877496,-0.03569448953298973
358802,155083,BOEING CO,097023105,2314.0,7848.0,No,"DRW Securities, LLC",1481986,2017-12-31,2017,-0.03773805408512896,211897,097023105,6635.0,22500.0,No,Barbara Oil Co.,1599670,2017-12-31,-0.03740107980858128,-0.03756956694685512
7511652,131528,3M CO,88579Y101,2212.0,11607.0,No,HALL CAPITAL MANAGEMENT CO INC,1122490,2018-12-31,2018,-0.03774600858089565,273726,88579Y101,3260.0,17109.0,No,BANK OF NOVA SCOTIA,9631,2018-12-31,-0.037664280036155545,-0.0377051443085256
1105154,123035,PHILLIPS 66,718546104,698.0,6900.0,No,Park Avenue Institutional Advisers LLC,1640801,2017-12-31,2017,-0.037864078253354146,124991,718546104,439.0,4344.0,No,Dynamic Advisors Solutions LLC,1599747,2017-12-31,-0.037884276433781325,-0.03787417734356774
66941964,255400,APPLE INC,037833100,42826.0,324320.0,No,"Polaris Wealth Advisory Group, LLC",1582968,2020-12-31,2020,-0.03457871553120638,282509,037833100,7935.0,59801.0,No,"Ballast, Inc.",1730477,2020-12-31,-0.0372996989801823,-0.03593920725569434
37316234,163972,ALIBABA GROUP HLDG LTD (SPONSORED ADS),01609W102,226.0,1065.0,No,"Meridian Wealth Advisors, LLC",1768095,2019-12-31,2019,-0.03790088729258824,229745,01609W102,89039.0,419795.0,No,"Bain Capital Public Equity Management II, LLC",1768111,2019-12-31,-0.03097478305212798,-0.034437835172358114
4928,47341,3M CO,88579Y101,115.0,489.0,No,"D'Orazio & Associates, Inc.",1646821,2017-12-31,2017,-0.03790954365562846,175306,88579Y101,353.0,1500.0,No,HIGHLAND CAPITAL MANAGEMENT LP,1167365,2017-12-31,-0.03789098316550618,-0.03790026341056732
66040642,135286,AMAZON COM INC,023135106,31462.0,9660.0,No,"BRIDGEWAY CAPITAL MANAGEMENT, LLC",1107261,2020-12-31,2020,-0.03546493994191867,282280,023135106,152099.0,46700.0,No,SHANDA ASSET MANAGEMENT HOLDINGS Ltd,1622346,2020-12-31,-0.026057033022251458,-0.030760986482085063
20266133,72652,APPLE INC,037833100,14719.0,50124.0,No,MARIETTA INVESTMENT PARTNERS LLC,1114702,2019-12-31,2019,-0.03677064702644488,221728,037833100,157690.0,537000.0,No,"COWEN AND COMPANY, LLC",48966,2019-12-31,-0.025621017474883243,-0.03119583225066406
20259912,71417,APPLE INC,037833100,5245.0,17863.0,No,"GPM Growth Investors, Inc.",1799367,2019-12-31,2019,-0.03750947930971557,266601,037833100,846.0,2881.0,No,"Peterson Wealth Advisors, LLC",1713558,2019-12-31,-0.037852536435967185,-0.03768100787284138
65162869,176861,ABBVIE INC,00287Y109,653.0,6096.0,No,XR Securities LLC,1531971,2020-12-31,2020,-0.03786758758972181,236859,00287Y109,15548.0,145101.0,No,BRANDYWINE TRUST CO,1123803,2020-12-31,-0.036705997252027375,-0.03728679242087459
9638591,80675,ALPHABET INC (CAP STK CL A),02079K305,217.0,208.0,No,"FINANCIAL CONSULATE, INC",1624510,2018-12-31,2018,-0.03790158915986177,170596,02079K305,375735.0,359569.0,No,POLEN CAPITAL MANAGEMENT LLC,1034524,2018-12-31,-0.00861672306853331,-0.02325915611419754
19545287,49390,3M CO,88579Y101,9826.0,55698.0,No,"CAPSTONE INVESTMENT ADVISORS, LLC",1426196,2019-12-31,2019,-0.0371522288674881,235088,88579Y101,114.0,649.0,No,"JFS WEALTH ADVISORS, LLC",1568068,2019-12-31,-0.037909621640881075,-0.03753092525418458
7499525,16747,3M CO,88579Y101,12695.0,66627.0,No,"CARILLON TOWER ADVISERS, INC.",1715163,2018-12-31,2018,-0.03692848917773682,183882,88579Y101,1210.0,6352.0,No,PINNACLE FINANCIAL PARTNERS INC,1115055,2018-12-31,-0.037824149804015474,-0.03737631949087615
20787,167905,3M CO,88579Y101,133858.0,568714.0,No,AQR CAPITAL MANAGEMENT LLC,1167557,2017-12-31,2017,-0.02747956201519433,182854,88579Y101,885.0,3758.0,No,Teza Capital Management LLC,1655789,2017-12-31,-0.03784949501111522,-0.032664528513154774
24342340,114619,EXXON MOBIL CORP,30231G102,3073.0,44044.0,No,"AIGEN INVESTMENT MANAGEMENT, LP",1741224,2019-12-31,2019,-0.03767886327839448,169892,30231G102,307.0,4415.0,No,Lester Murray Antman dba SimplyRich,1725888,2019-12-31,-0.03789457048712645,-0.03778671688276047
66895921,237084,APPLE INC,037833100,437.0,3302.0,No,BHF RG Capital Inc.,1802858,2020-12-31,2020,-0.03788443240428656,291354,037833100,11412.0,86007.0,No,Solitude Financial Services,1839890,2020-12-31,-0.03702854425684135,-0.037456488330563954
47195409,195334,ALPHABET INC (CAP STK CL A),02079K305,279.0,208.0,No,"55I, LLC",1730242,2019-12-31,2019,-0.037896754074199665,219140,02079K305,4554.0,3400.0,No,"Blue Grotto Capital, LLC",1764725,2019-12-31,-0.03756336711927226,-0.03773006059673596
31523717,184872,SPDR S&P 500 ETF TR (TR UNIT),78462F103,6834.0,21234.0,No,Cliffwater LLC,1659851,2019-12-31,2019,-0.037385560743310974,207522,78462F103,5205.0,17539.0,No,FIRST CITIZENS BANK & TRUST CO,1092203,2019-12-31,-0.037512598719820156,-0.03744907973156557
20208159,14072,APPLE INC,037833100,445.0,1517.0,No,Hummer Financial Advisory Services Inc,1802279,2019-12-31,2019,-0.03788380852226564,73445,037833100,2178.0,7418.0,No,"Pinnacle Advisory Group, Inc.",1504404,2019-12-31,-0.03774866007948454,-0.03781623430087509
65828715,142987,ALPHABET INC (CAP STK CL C),02079K107,443.0,253.0,No,"Bridgeworth, LLC",1691804,2020-12-31,2020,-0.03788396449277087,145358,02079K107,811.0,463.0,No,DYMON ASIA CAPITAL (SINGAPORE) PTE. LTD.,1672142,2020-12-31,-0.0378552659198087,-0.037869615206289786
7561390,90064,ABBVIE INC,00287Y109,6248.0,67769.0,No,TOTH FINANCIAL ADVISORY CORP,866780,2018-12-31,2018,-0.03743126010134313,295050,00287Y109,2502.0,27149.0,No,"SIMPLEX TRADING, LLC",1488542,2018-12-31,-0.037723392857637414,-0.037577326479490275
20061240,66724,ALTRIA GROUP INC,02209s103,207.0,4150.0,No,DF DENT & CO INC,934999,2019-12-31,2019,-0.037902369012387915,199348,02209S103,20.0,409.0,No,Pacifica Partners Inc.,1799900,2019-12-31,-0.037916952254626844,-0.03790966063350738
46209,123779,ABBVIE INC,00287Y109,424.0,4389.0,No,"High Falls Advisors, Inc",1569139,2017-12-31,2017,-0.03788544621257055,177706,00287Y109,120290.0,1243819.0,No,Retirement Systems of Alabama,1593051,2017-12-31,-0.02853766592266919,-0.03321155606761987
65666111,133864,ALPHABET INC (CAP STK CL A),02079K305,876.0,500.0,No,SWARTHMORE GROUP INC,1019531,2020-12-31,2020,-0.037850196878388746,308844,02079K305,15458.0,8820.0,No,Guinness Asset Management LTD,1409661,2020-12-31,-0.036713015924762685,-0.03728160640157571
21796525,43987,AT&T INC,00206R102,131945.0,3376291.0,No,Treasurer of the State of North Carolina,1761054,2019-12-31,2019,-0.02762874780344606,177081,00206R102,1373.0,35129.0,No,"Yakira Capital Management, Inc.",1584639,2019-12-31,-0.03781143820783929,-0.03272009300564267
7766471,162042,APPLE INC,037833100,23923.0,151427.0,No,"Brown Advisory Securities, LLC",1389479,2018-12-31,2018,-0.03605287076138012,292705,037833100,636.0,4029.0,No,"Pasadena Private Wealth, LLC",1760578,2018-12-31,-0.03786891333901625,-0.03696089205019819
20400619,168681,APPLE INC,037833100,9690000.0,33000.0,No,Crake Asset Management LLP,1789082,2019-12-31,2019,0.7177585858757716,308901,037833100,23777.0,79950.0,No,"RB Capital Management, LLC",1695582,2019-12-31,-0.03606425660826185,0.34084716463375486
64940361,243142,BIOGEN INC,09062X103,1318.0,5383.0,No,Cohen Investment Advisors LLC,1845081,2020-12-31,2020,-0.0378157273967331,306258,09062X103,32049.0,130888.0,No,"LETKO, BROSSEAU & ASSOCIATES INC",1297496,2020-12-31,-0.035419162598633896,-0.0366174449976835
65860903,243208,ALPHABET INC (CAP STK CL C),02079K107,217.0,124.0,No,"WJ Wealth Management, LLC",1801674,2020-12-31,2020,-0.03790158915986177,309744,02079K107,578.0,330.0,No,Tacita Capital Inc,1846287,2020-12-31,-0.0378734364836679,-0.037887512821764835
2459732,52625,COGNIZANT TECHNOLOGY SOLUTIO (CL A),192446102,174642.0,2459057.0,No,"SCHARF INVESTMENTS, LLC",1463746,2017-12-31,2017,-0.024299011472560583,189843,192446102,99876.0,1406312.0,No,Broad Peak Investment Management LTD.,1728120,2017-12-31,-0.030129656869543588,-0.027214334171052085
7552775,38749,ABBVIE INC,00287Y109,3028.0,32845.0,No,MARIETTA INVESTMENT PARTNERS LLC,1114702,2018-12-31,2018,-0.037682372614762136,224579,00287Y109,1425.0,15452.0,No,"RFG Advisory, LLC",1633387,2018-12-31,-0.03780738297470333,-0.037744877794732734
7522306,183106,3M CO,88579Y101,1948.0,10226.0,No,"NORTHWEST INVESTMENT COUNSELORS, LLC",1428350,2018-12-31,2018,-0.0377665966875859,188136,88579Y101,232.0,1216.0,No,"Pflug Koory, LLC",1740063,2018-12-31,-0.037900419381072546,-0.03783350803432922
180897,55458,APPLE INC,037833100,17709.0,104647.0,No,"TCTC Holdings, LLC",1483870,2017-12-31,2017,-0.03653747112112723,199606,037833100,3367.0,19894.0,No,Providence First Trust Co,1713735,2017-12-31,-0.037655935614125786,-0.03709670336762651
20355337,123663,APPLE INC,037833100,114523.0,390000.0,No,Varma Mutual Pension Insurance Co,1698484,2019-12-31,2019,-0.028987406874497575,234947,037833100,16798.0,57205.0,No,Harbor Island Capital LLC,1730580,2019-12-31,-0.03660851568625913,-0.03279796128037835
20301224,100309,APPLE INC,037833100,33016.0,112434.0,No,"Nan Shan Life Insurance Co., Ltd.",1730464,2019-12-31,2019,-0.03534375085935558,177321,037833100,5667.0,19298.0,No,"XML Financial, LLC",1800465,2019-12-31,-0.03747656953311221,-0.036410160196233894
65324312,129562,ADOBE SYSTEMS INCORPORATED,00724F101,116009.0,231964.0,No,Mirova US LLC,1802900,2020-12-31,2020,-0.028871520789112284,131361,00724F101,1226.0,2452.0,No,Columbia Trust Co 01012016,1802291,2020-12-31,-0.03782290203997364,-0.033347211414542964
14689,136250,3M CO,88579Y101,113.0,482.0,No,Corbenic Partners LLC,1568298,2017-12-31,2017,-0.037909699626133685,150228,88579Y101,12233.0,51975.0,No,ONTARIO TEACHERS PENSION PLAN BOARD,937567,2017-12-31,-0.03696451836444476,-0.03743710899528922
24760689,1043,FEDEX CORP,31428X106,13.0,84.0,No,WETHERBY ASSET MANAGEMENT INC,1279627,2019-12-31,2019,-0.03791749815139515,223315,31428X106,756.0,5000.0,No,"SG3 Management, LLC",1630888,2019-12-31,-0.0378595551087025,-0.037888526630048824
65158265,160377,ABBVIE INC,00287Y109,3318.0,30966.0,No,"Mount Yale Investment Advisors, LLC",1744349,2020-12-31,2020,-0.0376597568915039,253223,00287Y109,656.0,6126.0,No,"Signature Wealth Management Partners, LLC",1824694,2020-12-31,-0.03786735363396396,-0.03776355526273393
72227719,138544,MICROSOFT CORP,594918104,17657.0,79385.0,No,COLUMBUS POINT LLP,1767392,2020-12-31,2020,-0.036541526354263186,252357,594918104,70540.0,319688.0,No,Rokos Capital Management LLP,1666335,2020-12-31,-0.032417432240245424,-0.034479479297254305
66421249,18316,APPLE INC,037833100,3504.0,25826.0,No,"Wellspring Financial Advisors, LLC",1811308,2020-12-31,2020,-0.03764525163451759,145248,037833100,5293.0,39893.0,No,Sicart Associates LLC,1696494,2020-12-31,-0.03750573601759007,-0.03757549382605383
7565639,131433,ABBVIE INC,00287Y109,216.0,2345.0,No,"Quadrant Private Wealth Management, LLC",1727454,2018-12-31,2018,-0.037901667145114386,253044,00287Y109,1508.0,16356.0,No,PHILADELPHIA TRUST CO,1110806,2018-12-31,-0.037800910198736326,-0.03785128867192536
103420,232209,ALBEMARLE CORP,012653101,896.0,7006.0,No,"PNC FINANCIAL SERVICES GROUP, INC.",713676,2017-12-31,2017,-0.037848637173336454,246572,012653101,834.0,6525.0,No,SASCO CAPITAL INC / CT/,788714,2017-12-31,-0.037853472258998565,-0.03785105471616751
20511152,219276,APPLE INC,037833100,3347.0,11398.0,No,Seascape Capital Management,1418342,2019-12-31,2019,-0.03765749531917808,310419,037833100,4571.0,15567.0,No,Bay Rivers Group,1798924,2019-12-31,-0.03756204136997781,-0.037609768344577944
75096732,295996,VANGUARD INTL EQUITY INDEX F (FTSE EMR MKT ETF),922042858,11.0,225.0,No,"Acorns Advisers, LLC",1701879,2020-12-31,2020,-0.037917654121900374,298752,922042858,1278.0,25500.0,No,Humankind Investments LLC,1845373,2020-12-31,-0.03781884680683768,-0.03786825046436903
20337585,121509,APPLE INC,037833100,135131.0,460177.0,No,WESTWOOD HOLDINGS GROUP INC,1165002,2019-12-31,2019,-0.02738028678861595,122196,037833100,2335.0,7954.0,No,AGUR PROVIDENT & TRAINING FUNDS MANAGEMENT LTD,1670627,2019-12-31,-0.03773641639482405,-0.03255835159172
7623482,71376,ALTRIA GROUP INC,02209S103,585.0,11849.0,No,King Wealth,1568235,2018-12-31,2018,-0.0378728905868996,132496,02209S103,6342.0,128400.0,No,Archon Partners LLC,1454424,2018-12-31,-0.03742392948759736,-0.037648410037248475
19602034,13519,ABBVIE INC,00287Y109,2009.0,22692.0,No,"Stokes Family Office, LLC",1802278,2019-12-31,2019,-0.03776183958717641,111066,00287Y109,1151.0,13000.0,No,Lingohr & Partner Asset Management GmbH,1527570,2019-12-31,-0.037828750933919734,-0.037795295260548076
20230873,45867,APPLE INC,037833100,331.0,1128.0,No,"Adaptive Financial Consulting, LLC",1804717,2019-12-31,2019,-0.03789269884106371,168681,037833100,9690000.0,33000.0,No,Crake Asset Management LLP,1789082,2019-12-31,0.7177585858757716,0.3399329435173539
65505149,7899,ALPHABET INC (CAP STK CL A),02079K305,19340.0,11035.0,No,ALLEGHANY CORP /DE,775368,2020-12-31,2020,-0.03641027717411282,320068,02079K305,319.0,182.0,No,"TruWealth Advisors, LLC",1834985,2020-12-31,-0.03789363466409508,-0.037151955919103946
5936300,15131,OPKO HEALTH INC,68375N103,468.0,95477.0,No,BURNEY CO/,940445,2017-12-31,2017,-0.0378820148614555,187825,68375N103,4884.0,996718.0,No,Mivtachim The Workers Social Insurance Fund Ltd. (Under Special Management),1599719,2017-12-31,-0.03753763198590944,-0.03770982342368247
113366,94016,ALTRIA GROUP INC,02209S103,43159.0,604384.0,No,RNC CAPITAL MANAGEMENT LLC,51762,2017-12-31,2017,-0.03455274644208572,203598,02209S103,697.0,9766.0,No,"Edgestream Partners, L.P.",1535061,2017-12-31,-0.03786415623860676,-0.03620845134034624
65047232,47656,ABBOTT LABS,002824100,589.0,5382.0,No,ALBION FINANCIAL GROUP /UT,1054677,2020-12-31,2020,-0.03787257864588914,265912,002824100,42.0,392.0,No,Pacifica Partners Inc.,1799900,2020-12-31,-0.037915236579069325,-0.03789390761247923
17553073,190528,ABBVIE INC (COMMON STOCK),00287Y109,462.0,5012.0,No,NICOLET BANKSHARES INC,1174850,2018-12-31,2018,-0.03788248277297119,195840,00287Y109,505.0,5480.0,No,Bangor Savings Bank,1352675,2018-12-31,-0.03787912940710876,-0.03788080609003998
35460,21528,ABBVIE INC,00287Y109,341.0,3527.0,No,"Iron Financial, LLC",1595509,2017-12-31,2017,-0.03789191898853756,128493,00287Y109,4148.0,42889.0,No,"Cubist Systematic Strategies, LLC",1603465,2017-12-31,-0.03759502913183378,-0.037743474060185675
65806768,71857,ALPHABET INC (CAP STK CL C),02079K107,1874.0,1068.0,No,SANDERS MORRIS HARRIS LLC,1053994,2020-12-31,2020,-0.03777236759627938,267036,02079K107,47274.0,26985.0,No,"ARMOR ADVISORS, L.L.C.",1600698,2020-12-31,-0.03423183712757665,-0.036002102361928016
9674576,253821,ALPHABET INC (CAP STK CL A),02079K305,22989.0,22000.0,No,Chescapmanager LLC,1697162,2018-12-31,2018,-0.036125708987322154,276602,02079K305,3540.0,3388.0,No,CMH Wealth Management LLC,1657516,2018-12-31,-0.037642444165423464,-0.03688407657637281
1398330,182582,FACEBOOK INC (CL A),30303M102,33909.0,192163.0,No,Newbrook Capital Advisors LP,1389875,2017-12-31,2017,-0.03527411002877075,209287,30303M102,12796.0,72516.0,No,Crystal Rock Capital Management,1510668,2017-12-31,-0.03692061266722275,-0.03609736134799675
